state,subject_1,subject_2,n1,n2,jsd,p_value,effect_z,q_value
High Instantaneous LF (Z > 0.5),S13,S3,58738,60856,0.019488703154447194,0.0,1410.302452993699,0.0
High Instantaneous SCR (Z > 1.0),S10,S15,9340,21803,0.09212707103014009,0.0,1398.7259527731023,0.0
High Instantaneous LF (Z > 0.5),S15,S4,45935,48235,0.023389093524970865,0.0,1394.2105869155369,0.0
High Instantaneous SCR (Z > 1.0),S4,S6,14363,18456,0.08372665743651825,0.0,1391.2153874344388,0.0
High Instantaneous SCR (Z > 1.0),S10,S14,9340,7927,0.14123997766722932,0.0,1378.061115050047,0.0
High Instantaneous LF (Z > 0.5),S14,S4,60525,48235,0.021218012035332297,0.0,1365.709550604392,0.0
High Instantaneous LF (Z > 0.5),S14,S15,60525,45935,0.02185341049633365,0.0,1354.6380676689027,0.0
High Instantaneous SCR (Z > 1.0),S10,S17,9340,6125,0.17119819623427637,0.0,1338.3966493304881,0.0
High Instantaneous SCR (Z > 1.0),S15,S7,21803,18292,0.0549887285990489,0.0,1330.8056197092699,0.0
High Instantaneous SCR (Z > 1.0),S10,S6,9340,18456,0.09013338197762229,0.0,1312.9222212877287,0.0
High Instantaneous SCR (Z > 1.0),S17,S7,6125,18292,0.13147653281286187,0.0,1295.2205912666493,0.0
High Instantaneous SCR (Z > 1.0),S13,S16,21945,14475,0.0651975021940984,0.0,1268.8682685536448,0.0
High Instantaneous SCR (Z > 1.0),S11,S13,18978,21945,0.05374946138114628,0.0,1268.002231125079,0.0
High Instantaneous SCR (Z > 1.0),S13,S9,21945,17623,0.05577041376507526,0.0,1255.1019565155832,0.0
High Instantaneous SCR (Z > 1.0),S15,S3,21803,9535,0.07962144082371045,0.0,1210.7969206967034,0.0
High Instantaneous SCR (Z > 1.0),S17,S5,6125,18854,0.1100538588810181,0.0,1197.8182029208178,0.0
High Instantaneous SCR (Z > 1.0),S17,S6,6125,18456,0.11328500163340777,0.0,1184.8514331956278,0.0
High Instantaneous SCR (Z > 1.0),S17,S2,6125,13799,0.11976184907330496,0.0,1182.7019422020091,0.0
High Instantaneous SCL (Z > 0.5),S2,S8,76240,75366,0.007286882659439619,0.0,1154.322615469228,0.0
High Instantaneous SCR (Z > 1.0),S15,S5,21803,18854,0.050675241391979355,0.0,1126.1832335379688,0.0
High Instantaneous LF (Z > 0.5),S15,S6,45935,57348,0.019946728578388202,0.0,1123.9148551645537,0.0
High Instantaneous SCR (Z > 1.0),S10,S13,9340,21945,0.07311161171895948,0.0,1099.4399601784578,0.0
High Instantaneous SCR (Z > 1.0),S15,S17,21803,6125,0.11036804126849672,0.0,1098.7096346069964,0.0
High Instantaneous LF (Z > 0.5),S5,S9,58750,68547,0.01583641139124559,0.0,1089.8749800818744,0.0
High Instantaneous SCR (Z > 1.0),S14,S5,7927,18854,0.08229127412947597,0.0,1083.2392710238707,0.0
High Instantaneous SCR (Z > 1.0),S14,S7,7927,18292,0.09344074385340834,0.0,1053.3845931112671,0.0
High Instantaneous SCR (Z > 1.0),S11,S17,18978,6125,0.09403386031365572,0.0,1022.6823205969279,0.0
High Instantaneous SCR (Z > 1.0),S11,S9,18978,17623,0.04786790802594642,0.0,1015.9488489303945,0.0
High Instantaneous SCL (Z > 0.5),S11,S3,53440,70006,0.009973452664519536,0.0,1007.5972637540178,0.0
High Instantaneous SCR (Z > 1.0),S16,S7,14475,18292,0.054387896366945424,0.0,994.5944772741783,0.0
Low Instantaneous Vagal Action (Z < -0.5),S3,S4,104243,105164,0.008522623416676667,0.0,987.9856643862865,0.0
High Instantaneous SCR (Z > 1.0),S4,S9,14363,17623,0.052934845165276016,0.0,951.2247254977472,0.0
High Instantaneous SCR (Z > 1.0),S16,S3,14475,9535,0.07470541681911058,0.0,943.8277305680867,0.0
High Instantaneous SCR (Z > 1.0),S17,S3,6125,9535,0.1147812851685958,0.0,908.1632839446864,0.0
High Instantaneous SCR (Z > 1.0),S10,S4,9340,14363,0.05472458078060003,0.0,908.1568287774958,0.0
Low Instantaneous Vagal Action (Z < -0.5),S17,S3,117004,104243,0.006933291862757869,0.0,885.3387314496888,0.0
High Instantaneous LF (Z > 0.5),S15,S17,45935,57958,0.014427560791917107,0.0,863.0520373375373,0.0
High Instantaneous SCR (Z > 1.0),S15,S16,21803,14475,0.044505263020271496,0.0,851.0851423709689,0.0
High Instantaneous SCR (Z > 1.0),S16,S5,14475,18854,0.04603304735745977,0.0,837.7273270089624,0.0
High Instantaneous SCR (Z > 1.0),S13,S5,21945,18854,0.03457642660297505,0.0,831.604255453918,0.0
High Instantaneous SCR (Z > 1.0),S7,S8,18292,17272,0.04093563157672167,0.0,806.7333387484495,0.0
High Instantaneous LF (Z > 0.5),S17,S3,57958,60856,0.011759515874427988,0.0,803.6473241043078,0.0
High Instantaneous SCR (Z > 1.0),S15,S6,21803,18456,0.031859681730159475,0.0,784.4456419675282,0.0
High Instantaneous SCR (Z > 1.0),S13,S3,21945,9535,0.05004530443125733,0.0,768.2435275691319,0.0
High Instantaneous SCR (Z > 1.0),S13,S2,21945,13799,0.04220677530022643,0.0,764.1860065560644,0.0
High Instantaneous SCR (Z > 1.0),S10,S11,9340,18978,0.05076091444764143,0.0,747.3389590693913,0.0
High Instantaneous SCR (Z > 1.0),S4,S8,14363,17272,0.03395534124474161,0.0,742.1354417785434,0.0
High Instantaneous SCR (Z > 1.0),S5,S8,18854,17272,0.036600888146796684,0.0,725.3604182903243,0.0
High Instantaneous SCR (Z > 1.0),S14,S17,7927,6125,0.09510605913201008,0.0,702.8372051682417,0.0
High Instantaneous SCR (Z > 1.0),S2,S5,13799,18854,0.03576273607469692,0.0,671.7269594014859,0.0
High Instantaneous SCR (Z > 1.0),S13,S15,21945,21803,0.026983164587087438,0.0,669.1749677250747,0.0
High Instantaneous SCR (Z > 1.0),S3,S8,9535,17272,0.048470478679161606,0.0,653.2053395470393,0.0
High Instantaneous LF (Z > 0.5),S4,S5,48235,58750,0.01068150486922396,0.0,652.6726941951206,0.0
High Instantaneous SCR (Z > 1.0),S2,S7,13799,18292,0.02878846335396815,0.0,633.3747948640887,0.0
High Instantaneous SCR (Z > 1.0),S14,S3,7927,9535,0.06045960968847294,0.0,617.2132815603604,0.0
High Instantaneous SCR (Z > 1.0),S14,S2,7927,13799,0.05445096348706195,0.0,612.144654195941,0.0
High Instantaneous SCR (Z > 1.0),S13,S7,21945,18292,0.026389638911603175,0.0,608.7917048594998,0.0
High Instantaneous LF (Z > 0.5),S2,S4,45256,48235,0.011337136943263555,0.0,567.462645016847,0.0
High Instantaneous LF (Z > 0.5),S10,S6,51497,57348,0.009008019052772357,0.0,562.4494866135461,0.0
High Instantaneous SCR (Z > 1.0),S10,S16,9340,14475,0.03681192336764663,0.0,525.2035885104982,0.0
High Instantaneous SCR (Z > 1.0),S16,S6,14475,18456,0.024965905162472147,0.0,509.5444846263604,0.0
High Instantaneous SCR (Z > 1.0),S16,S4,14475,14363,0.03330861586162282,0.0,489.2890579790334,0.0
High Instantaneous SCR (Z > 1.0),S11,S14,18978,7927,0.03987208063996458,0.0,475.9812559231829,0.0
High Instantaneous SCR (Z > 1.0),S3,S9,9535,17623,0.027114980558959823,0.0,455.7118550257818,0.0
High Instantaneous SCR (Z > 1.0),S16,S9,14475,17623,0.0251570326486807,0.0,444.28750586000126,0.0
High Instantaneous SCR (Z > 1.0),S16,S8,14475,17272,0.02418804283185961,0.0,429.3898317782741,0.0
High Instantaneous SCR (Z > 1.0),S10,S7,9340,18292,0.027333565504743265,0.0,419.0153758195845,0.0
High Instantaneous SCR (Z > 1.0),S5,S9,18854,17623,0.0196884744420984,0.0,417.92792290222684,0.0
High Instantaneous SCR (Z > 1.0),S7,S9,18292,17623,0.019131768618865883,0.0,411.1390852567348,0.0
High Instantaneous SCR (Z > 1.0),S2,S3,13799,9535,0.027198710219132265,0.0,398.3287039078214,0.0
High Instantaneous SCR (Z > 1.0),S10,S3,9340,9535,0.02977531574981958,0.0,369.3103235058027,0.0
High Instantaneous SCR (Z > 1.0),S11,S2,18978,13799,0.018068114095359702,0.0,357.80938019537393,0.0
High Instantaneous SCR (Z > 1.0),S10,S5,9340,18854,0.025736061364774836,0.0,337.12872570668605,0.0
High Instantaneous SCR (Z > 1.0),S11,S7,18978,18292,0.013061883566627611,0.0,271.70255518816936,0.0
High Instantaneous SCR (Z > 1.0),S11,S5,18978,18854,0.009015080969088414,0.0,214.73635280143426,0.0
High Instantaneous SCR (Z > 1.0),S8,S9,17272,17623,0.006533979653641425,0.0,126.77863078210757,0.0
High Instantaneous SCR (Z > 1.0),S3,S7,9535,18292,0.005340784477560899,0.0,95.51249822728069,0.0
High Instantaneous SCR (Z > 1.0),S5,S7,18854,18292,0.004006216780551371,0.0,78.851254793101,0.0
High Instantaneous SCR (Z > 1.0),S3,S5,9535,18854,0.0059796878789633605,0.0,76.73699816060585,0.0
High Instantaneous SCR (Z > 1.0),S10,S9,9340,17623,0.004408306922295485,0.0,76.47060947046903,0.0
High Instantaneous SCR (Z > 1.0),S11,S3,18978,9535,0.004780180598589184,0.0,66.76743685447047,0.0
High Instantaneous SCR (Z > 1.0),S10,S8,9340,17272,0.0038464488078962787,0.0,60.87116681500872,0.0
High Instantaneous SCL (Z > 0.5),S7,S8,71599,75366,0.0003709693267359032,0.0,52.95843694289392,0.0
High Instantaneous SCL (Z > 0.5),S16,S4,67300,63500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S13,S16,66400,67300,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S13,S5,66400,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S10,S15,72500,68600,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S10,S16,72500,67300,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S10,S13,72500,66400,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S15,S9,68600,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S16,S5,67300,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S15,S5,68600,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S15,S4,68600,63500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S15,S16,68600,67300,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S13,S4,66400,63500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S13,S9,66400,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S10,S4,72500,63500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S10,S5,72500,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S10,S9,72500,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S13,S15,66400,68600,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S16,S9,67300,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S4,S5,63500,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S4,S9,63500,64500,0.0,1.0,0.0,1.0
High Instantaneous SCL (Z > 0.5),S5,S9,64500,64500,0.0,1.0,0.0,1.0
